alert_id,detected_timestamp,resolved_timestamp,hostname,user_id,endpoint_product,alert_name,severity,status,description,file_path,process_name,sha256,assigned_to,device_criticality
EPA00001920,2026-08-09 11:06:47,2026-08-11 06:06:47,VDR-11768,EMP11768,Kaspersky,Lateral movement detected,MEDIUM,R,Endpoint protection detected suspicious activity on host.,C:\ProgramData\svc\agent.dll,,054e0398bbd02a8260a7d6d34e2f84e7ee67706f95b453bbf5a51cbc3d01886c,,
EPA00004656,2026-09-08 17:32:00,,VDR-11100,EMP11100,Quick Heal,MALWARE_DETECTED,HIGH,WIP,Multiple failed attempts to disable security agent.,,msedge.exe,20e2f44e68c92f4a824a1a67bb3b9316e6843372c31e029cd1f0b38bc565757a,soc.analyst2,CRITICAL
EPA00001840,2026-09-08 00:00:00,2026-09-13 13:51:20,VDR-10029,EMP10029,McAfee,Unusual admin share access,CRITICAL,IN_PROGRESS,Malicious file blocked. User notified. Need validation.,E:\Backup\data.rar,explorer.exe,abbc24bffe28684c1d48bbe075610913ff0accfbc1efc9fd92ac55690c287a0b,unassigned,
EPA00004878,,2026-08-11 14:17:00,WS-10202.corp.local,EMP10202,Windows Defender,MALWARE_DETECTED,MEDIUM,Unassigned,Alert generated from heuristic engine. Possible false positive.,C:\ProgramData\svc\agent.dll,winword.exe,99be2fd35ebc37d1e43fafbbf706101154ca19ecff6c12acaae406a4109edd01,incident.team,CRITICAL
EPA00003821,2026-09-09 09:26:10,,lpt-10538,EMP10538,Kaspersky,Ransomware Activity,MEDIUM,IN_PROGRESS,Multiple failed attempts to disable security agent.,E:\Backup\data.rar,winword.exe,,admin,
EPA00007195,2026-08-06 00:00:00,2026-08-08 00:00:00,WS-10665,EMP10665,SentinelOne,MALWARE_DETECTED,LOW,In Progress,User reported machine slowdown after popup. AV alert generated.,C:\Users\Public\Downloads\invoice.exe,,605fa5afc7240e3d84603f476253f2799e645,,HIGH
EPA00006512,2026-08-05 00:31:08,2026-08-06 13:31:00,LPT-11158,EMP11158,Kaspersky,Phishing URL blocked,HIGH,CLOSED,Alert triggered by abnormal network connection.,,,ee8d1a041b0beb7eb331f67002674c070afdeffae80adb3725d09ef9cdd0b20a,unassigned,L
EPA00005098,2026-09-04 19:36:51,2026-08-09 09:36:51,WS-12391,EMP12391,SYMANTEC,Unusual admin share access,HIGH,IN_PROGRESS,Alert triggered by abnormal network connection.,D:\Projects\scripts\cleanup.ps1,python.exe,047b4f0227ac3ae3baf5c7df4fcd89dd157b4fd3fd17511e24f6a909cd0f9f5e,soc.analyst2,L
EPA00003468,,2026-08-09 10:53:14,LPT-11428.corp.local,EMP11428,Kaspersky,Phishing URL blocked,CRITICAL,CLOSED,Alert triggered by abnormal network connection.,C:\Windows\Temp\update.tmp,cmd.exe,2a1395f7c9c9b41c671c1cc3ecf3ae94ce9a7c684af5d1a1fceee61a4d115fb4,unassigned,CRITICAL
EPA00001596,,,VDR-10907,EMP10907,Kaspersky,Ransomware Activity,LOW,Investigating,Suspicious script execution observed. Logs attached.,C:\ProgramData\svc\agent.dll,unknown,76b98d9ddf9ba7c38ae2f5264b5d8d29d11ecb38ed6784c806744d7d5629cd00,unassigned,CRITICAL
EPA00006012,2026-09-02 00:00:00,,LPT-11786,EMP11786,SentinelOne,Browser hijack attempt,HIGH,Open,Process attempted to access sensitive directory.,C:\Windows\Temp\update.tmp,powershell.exe,7954dfe8bc90723db112b92886a999583487d5571bb4f40850f94f0827c1085a,admin,HIGH
EPA00003096,2026-08-14 19:52:19,,ws-11076,EMP11076,Carbon Black,suspicious_powershell,MEDIUM,O,Alert generated from heuristic engine. Possible false positive.,C:\ProgramData\svc\agent.dll,unknown,a69822d668776e6808089b2912ffa4eb9e956c1da0bca3a48f53d0e1f40253ba,soc.analyst1,Critical
EPA00004626,2026-08-26 18:32:09,,VDR-11117,EMP11117,Defender,Lateral movement detected,LOW,RESOLVED,Suspicious script execution observed. Logs attached.,C:\ProgramData\svc\agent.dll,explorer.exe,58af04c95b02331e61f4dfc127aa254ad1d7a24813f0656f63212fac7d1d35ec,admin,H
EPA00000264,,,LPT-12783,EMP12783,Windows Defender,Unusual admin share access,CRITICAL,WIP,Endpoint protection detected suspicious activity on host.,,,7b78088d4f1a83fb2b31107c0c0af69226924f23ad7def626b355713d2a6f18e,incident.team,M
EPA00000519,2026-08-26 05:16:07,2026-08-31 00:16:07,LPT-11285,EMP11285,McAfee,Browser hijack attempt,MEDIUM,Open,Suspicious script execution observed. Logs attached.,,unknown,a850e8e3b66e04874b15,incident.team,HIGH
EPA00004343,2026-08-27 12:14:00,,VDR_12243,EMP12243,McAfee,Trojan:Win32,CRITICAL,Open,Endpoint agent blocked execution. Review required.,C:\Windows\System32\drivers\etc\hosts,explorer.exe,363de85262bf2d4e62eec352c476223697560cdd49a5a854db0793c7bece7bc9,incident.team,Medium
EPA00005322,2026-08-29 08:30:00,2026-08-29 00:00:00,LPT-11833,EMP11833,Windows Defender,Keylogger suspected,LOW,Not Malicious,Process attempted to access sensitive directory.,C:\Users\user\AppData\Local\Temp\cache.bin,powershell.exe,b52b90bef8d819876dc67f32dd5cd24176627cbbb9faef766238655895df5ba6,unassigned,CRITICAL
EPA00000497,2026-08-22 00:59:45,2026-08-24 00:00:00,VDR-11507,EMP11507,Carbon Black,Keylogger suspected,MEDIUM,CLOSED,Multiple failed attempts to disable security agent.,,unknown,0f690cde2db3caf01a8962f146b0034f878cf621d323ef480cf0fa830c46368c,soc.analyst2,Low
EPA00007367,2026-08-28 17:56:03,2026-09-02 16:56:03,LPT-11656.corp.local,EMP11656,CrowdStrike,Keylogger suspected,HIGH,Unassigned,Endpoint agent blocked execution. Review required.,C:\Windows\Temp\update.tmp,msedge.exe,,admin,Low
EPA00002575,2026-08-27 18:21:00,,VDR-10735,EMP10735,Windows Defender,Credential dumping attempt,LOW,Active,Threat detected after file download from external website.,E:\Backup\data.rar,python.exe,,incident.team,High
