log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country,hostname_norm,session_id_norm
FW000002394,2026-06-09 11:22:07+00:00,LPT-11180,,,25.0,443.0,TCP/6,allow,727539.0,15.0,,False,,United States,LPT-11180,
FW000010469,2026-09-03 07:11:28+00:00,LPT-12202,,,8080.0,25.0,tcp,deny,31543169.0,20792470.0,sid191825,False,block_tor_exit,China,LPT-12202,SID191825
FW000014783,2026-08-13 17:11:00+00:00,VDR-12618,192.168.39.124,,,135.0,UDP,allow,23607256.0,20374317.0,SID963012,True,UNKNOWN,unknown,VDR-12618,SID963012
FW000020363,,VDR-11201,156.204.122.36,,8443.0,,UDP,deny,,40629470.0,SID910746,False,,unknown,VDR-11201,SID910746
FW000001711,2026-08-25 08:26:06+00:00,LPT-11882,145.73.181.9,,3389.0,8080.0,udp,allow,43682143.0,2159125.0,SID714372,False,DENY_TELNET,Russia,LPT-11882,SID714372
FW000006743,2026-09-05 22:06:16+00:00,WS-12120,,192.168.55.8,22.0,8443.0,TCP/6,allow,26306691.0,13482874.0,sid982658,False,allow_office_apps,RU,WS-12120,SID982658
FW000013362,2026-09-08 00:07:00+00:00,WS-10408,192.168.81.155,,,,tcp,deny,46733971.0,40723164.0,,False,,IN,WS-10408,
FW000012537,2026-08-21 04:35:00+00:00,,,183.114.107.123,8443.0,,tcp,allow,22.0,12075054.0,,False,MONITOR_DB_ACCESS,United States,,
FW000013677,2026-08-09 10:12:18+00:00,VDR-11508,192.168.133.133,,445.0,8080.0,tcp,allow,35366491.0,21521981.0,SID605740,False,allow_office_apps,,VDR-11508,SID605740
FW000028164,2026-08-15 10:08:00+00:00,WS-12879,67.230.146.16,,443.0,135.0,6,allow,38805.0,16679948.0,SID865676,False,allow_office_apps,China,WS-12879,SID865676
FW000018439,2026-08-20 14:13:49+00:00,WS-11108,123.248.215.152,,8443.0,,6,allow,39606947.0,43.0,SID816338,False,MONITOR_DB_ACCESS,United States,WS-11108,SID816338
FW000005116,2026-08-08 12:40:00+00:00,,,143.230.236.92,3389.0,3389.0,tcp,allow,35549756.0,26804.0,SID209067,False,UNKNOWN,CN,,SID209067
FW000012406,2026-08-17 20:22:19+00:00,ws-11953,192.168.139.226,,8080.0,,tcp,allow,49.0,17088650.0,SID989548,False,ALLOW_INTERNAL_DNS,United States,WS-11953,SID989548
FW000027859,,WS-11372,,,8080.0,25.0,udp,deny,,8848228.0,SID321081,False,block_tor_exit,,WS-11372,SID321081
FW000002141,2026-09-09 00:00:00+00:00,VDR-10638.corp.local,,,,135.0,TCP,allow,38.0,36.0,SID195136,False,UNKNOWN,China,VDR-10638,SID195136
FW000013089,2026-08-23 03:54:00+00:00,VDR-10165,,122.161.65.162,,443.0,6,deny,5.0,33603939.0,SID707651,False,ALLOW_WEB,,VDR-10165,SID707651
FW000010655,,LPT_11191,10.162.144.0,,8443.0,,17,deny,20588901.0,21425754.0,SID903924,False,UNKNOWN,IN,LPT-11191,SID903924
FW000007354,,,61.27.27.235,,,80.0,TCP,deny,12863477.0,7.0,SID598053,True,DENY_TELNET,Russia,,SID598053
FW000026490,2026-04-08 03:23:15+00:00,VDR-10498,105.145.224.169,192.168.70.44,8443.0,80.0,tcp,deny,35.0,,SID320757,False,ALLOW_INTERNAL_DNS,,VDR-10498,SID320757
FW000007603,2026-08-23 00:00:00+00:00,VDR_12480,182.140.176.178,103.61.182.141,443.0,8443.0,TCP/6,deny,29951357.0,18098013.0,SID531430,False,block_tor_exit,CN,VDR-12480,SID531430
FW000019396,2026-08-20 21:31:00+00:00,VDR-11494,,,25.0,,6,allow,37060184.0,15130.0,,False,,unknown,VDR-11494,
FW000024924,2026-09-08 01:05:04+00:00,VDR-11999,192.168.217.6,,25.0,22.0,17,deny,,6823662.0,SID122442,False,ALLOW_WEB,China,VDR-11999,SID122442
FW000017708,2026-08-18 07:12:08+00:00,VDR-12823,192.168.36.176,172.16.164.62,443.0,25.0,TCP/6,deny,13767894.0,35959647.0,SID398629,False,,China,VDR-12823,SID398629
FW000022559,2026-08-16 11:11:41+00:00,LPT-10414,,,3306.0,80.0,17,allow,13084174.0,,SID-878412,False,ALLOW_WEB,,LPT-10414,SID878412
FW000027566,,VDR-10489,192.168.245.10,192.168.67.145,3389.0,80.0,TCP,allow,31374454.0,40.0,SID595221,False,ALLOW_INTERNAL_DNS,Russia,VDR-10489,SID595221
FW000019422,2026-08-07 10:38:53+00:00,ws-12913,,172.16.48.60,,,UDP,allow,6477884.0,29134564.0,SID390749,False,BLOCK_EXTERNAL_RDP,,WS-12913,SID390749
FW000005219,2026-08-15 09:28:51+00:00,LPT-12575,192.168.51.100,172.16.75.59,3389.0,22.0,TCP,allow,16.0,10802819.0,SID768286,False,MONITOR_DB_ACCESS,,LPT-12575,SID768286
FW000012543,2026-08-02 10:44:07+00:00,LPT-12597,172.16.31.14,216.109.203.198,22.0,,TCP/6,deny,1705068.0,3019487.0,SID633485,False,block_tor_exit,India,LPT-12597,SID633485
FW000007556,2026-08-19 09:27:00+00:00,VDR-12465,,172.16.3.126,443.0,443.0,UDP/17,allow,31530947.0,28341918.0,SID621222,False,ALLOW_INTERNAL_DNS,,VDR-12465,SID621222
FW000006836,2026-08-10 03:11:51+00:00,ws-11442,,172.16.12.70,8443.0,3389.0,UDP/17,deny,17008932.0,34016110.0,SID110302,False,block_tor_exit,India,WS-11442,SID110302
FW000016821,2026-09-09 07:45:00+00:00,vdr-11091,,,,3306.0,TCP,allow,37090.0,34197716.0,sid119564,False,DENY_TELNET,unknown,VDR-11091,SID119564
FW000009483,2026-08-20 00:00:00+00:00,vdr-10740,172.16.176.126,192.168.176.87,,,tcp,allow,21.0,32180153.0,SID154338,False,ALLOW_WEB,IN,VDR-10740,SID154338
FW000014844,2026-08-16 00:00:00+00:00,,172.16.235.56,101.145.78.155,,3306.0,udp,allow,45648625.0,11026557.0,SID999774,False,,United States,,SID999774
FW000016637,2026-08-08 17:13:46+00:00,,172.16.242.164,,3306.0,,TCP/6,allow,40279097.0,620.0,SID581567,False,UNKNOWN,IN,,SID581567
FW000010002,2026-08-23 19:12:26+00:00,VDR-10278,,,53.0,445.0,ICMP,allow,38.0,263790.0,SID361728,False,ALLOW_WEB,CN,VDR-10278,SID361728
FW000012103,2026-08-27 23:06:00+00:00,LPT-12231,,,,,UDP/17,allow,4510732.0,31653496.0,SID522198,False,,ind,LPT-12231,SID522198
FW000023762,,WS-12902,,189.72.46.97,,445.0,6,allow,17987.0,8362.0,SID821602,False,UNKNOWN,RU,WS-12902,SID821602
FW000010243,2026-09-08 12:43:01+00:00,VDR_10735,,,443.0,445.0,UDP/17,allow,39.0,45643710.0,,False,ALLOW_INTERNAL_DNS,CN,VDR-10735,
FW000016419,2026-09-06 00:00:00+00:00,LPT-11138,,,8080.0,,ping,allow,22.0,26318973.0,SID944709,False,,,LPT-11138,SID944709
FW000016085,2026-08-22 00:00:00+00:00,WS_10878,,,445.0,3306.0,6,deny,47895087.0,68958.0,SID901254,False,,,WS-10878,SID901254
FW000002010,2026-02-09 02:27:59+00:00,VDR-10222,172.16.10.213,,22.0,3306.0,6,allow,46422639.0,8455991.0,SID-493161,False,MONITOR_DB_ACCESS,,VDR-10222,SID493161
FW000018098,2026-08-12 13:59:29+00:00,VDR-11927,,,,3389.0,tcp,allow,,49.0,,False,,China,VDR-11927,
FW000024231,2026-08-18 15:57:19+00:00,WS-10036,172.16.81.226,22.45.33.226,3306.0,8080.0,udp,allow,1119535.0,49.0,SID826123,False,,CN,WS-10036,SID826123
FW000029944,2026-08-14 05:53:13+00:00,vdr-10035,,10.2.124.0,3306.0,22.0,UDP,allow,,26572596.0,SID212194,False,DENY_TELNET,RU,VDR-10035,SID212194
FW000027337,,VDR_12513,10.53.34.0,,,22.0,TCP,allow,3.0,40903083.0,SID993036,False,MONITOR_DB_ACCESS,,VDR-12513,SID993036
FW000017809,2026-08-12 21:26:00+00:00,VDR-10611.corp.local,137.144.198.79,,,3389.0,TCP/6,allow,28432888.0,32.0,SID535128,False,ALLOW_INTERNAL_DNS,,VDR-10611,SID535128
FW000023405,2026-08-21 18:32:52+00:00,WS-11108,172.16.232.92,207.142.86.138,135.0,25.0,tcp,allow,668.0,,,True,allow_office_apps,CN,WS-11108,
FW000008539,2026-08-03 00:00:00+00:00,,,,443.0,25.0,TCP/6,allow,26905208.0,12.0,SID296803,False,ALLOW_WEB,Russia,,SID296803
FW000003800,2026-08-28 00:00:00+00:00,lpt-11299,,,,3389.0,TCP/6,allow,38911739.0,41161430.0,SID787610,False,UNKNOWN,United States,LPT-11299,SID787610
FW000010782,,LPT-10842,,212.163.80.67,8443.0,53.0,TCP/6,allow,36830616.0,30.0,SID535530,False,MONITOR_DB_ACCESS,,LPT-10842,SID535530
FW000009004,2026-09-04 16:06:40+00:00,,,,1433.0,3389.0,6,allow,43780920.0,41194567.0,SID916554,True,block_tor_exit,unknown,,SID916554
FW000023602,2026-08-27 10:30:48+00:00,LPT-12843,,172.151.155.186,443.0,8080.0,TCP,deny,,4771475.0,SID550712,False,,,LPT-12843,SID550712
FW000008301,2026-08-09 04:28:54+00:00,VDR-11599,,,8443.0,3306.0,ICMP,allow,41.0,47895945.0,SID184900,False,,IN,VDR-11599,SID184900
FW000008945,2026-08-29 05:34:23+00:00,VDR-11047,,172.16.48.100,443.0,3389.0,TCP/6,allow,,37127287.0,,False,ALLOW_WEB,Russia,VDR-11047,
FW000026442,2026-08-06 11:56:12+00:00,LPT-12370,,192.168.211.188,135.0,8443.0,tcp,allow,28802832.0,15.0,,False,BLOCK_EXTERNAL_RDP,IN,LPT-12370,
FW000005721,2026-08-01 00:00:00+00:00,LPT_11751,,202.251.108.84,80.0,53.0,6,allow,48755707.0,21.0,SID331359,False,block_tor_exit,China,LPT-11751,SID331359
FW000027420,2026-08-18 08:28:56+00:00,LPT-11683,172.16.190.39,192.168.53.57,3306.0,445.0,TCP,deny,18460277.0,38746517.0,,False,MONITOR_DB_ACCESS,,LPT-11683,
FW000021832,2026-08-04 17:49:00+00:00,VDR-11264,,,3389.0,53.0,TCP,allow,47344876.0,,SID772491,False,,US,VDR-11264,SID772491
FW000000737,2026-08-10 08:24:00+00:00,VDR-10599,,,1433.0,8080.0,UDP,allow,44.0,1.0,sid914418,False,ALLOW_INTERNAL_DNS,IN,VDR-10599,SID914418
FW000025249,2026-08-25 04:25:00+00:00,WS-12077,172.16.30.48,113.168.91.146,25.0,8080.0,tcp,allow,19476522.0,8667081.0,SID504338,False,allow_office_apps,United States,WS-12077,SID504338
FW000008944,2026-08-08 02:28:06+00:00,VDR-12312,,172.16.61.25,443.0,22.0,tcp,allow,46331420.0,26933750.0,,False,,RU,VDR-12312,
FW000007651,2026-08-16 00:06:07+00:00,WS-12232,10.38.136.0,,3306.0,,6,allow,45992400.0,22.0,SID-629452,False,BLOCK_EXTERNAL_RDP,CN,WS-12232,SID629452
FW000008226,2026-09-08 04:56:00+00:00,WS-10325,,90.101.122.41,3389.0,25.0,UDP,allow,28.0,4949010.0,SID-518246,False,ALLOW_WEB,,WS-10325,SID518246
FW000006217,2026-01-08 05:20:40+00:00,VDR-12464,172.16.247.35,,3389.0,,tcp,deny,39884181.0,44085.0,sid242697,False,DENY_TELNET,,VDR-12464,SID242697
FW000015063,2026-09-01 00:00:00+00:00,,,192.168.198.8,,443.0,TCP,deny,15622.0,42134729.0,SID997151,False,block_tor_exit,unknown,,SID997151
FW000028466,2026-09-08 10:13:05+00:00,VDR-10843,,192.168.185.116,135.0,8080.0,tcp,allow,32713900.0,25286876.0,sid763339,False,DENY_TELNET,United States,VDR-10843,SID763339
