event_id,timestamp,user_id,username,department,event_type,auth_method,source_ip,hostname,device_id,session_id,mfa_passed,failure_reason,risk_score,geo_location,hostname_norm,session_id_norm,event_category
IAM00008974,2026-09-05 12:43:00+00:00,EMP11889,atharv.shukla79,Compliance,LOGON_SUCCESS,otp,,vdr-11889,DEV48365,SID120652,1,,78.0,PB,VDR-11889,SID120652,login_success
IAM00017969,2026-09-09 01:56:18+00:00,EMP10918,isha.vyas39,Ops Team,MFA_FAILED,biometric,,ws-10918,DEV79178,,False,MFA failed,78.0,Maharashtra,WS-10918,,mfa_failure
IAM00015700,2026-09-04 04:04:00+00:00,EMP10629,ojasvi.majumdar45,Operations,FAILED_LOGIN,certificate,,WS-10629,NA,,True,NA,90.0,remote,WS-10629,,login_failed
IAM00016756,2026-09-09 00:00:00+00:00,EMP10271,widisha.nagy75,Legal Dept,PASSWORD_RESET,MFA,,LPT-10271,DEV53236,,False,,78.0,Punjab,LPT-10271,,other
IAM00009357,2026-08-03 00:01:59+00:00,EMP10122,OSHA.CHAKRABORTY87,Legal,MFA_FAILED,otp,,LPT_10122,DEV61717,,no,NA,32.0,remote,LPT-10122,,mfa_failure
IAM00014775,2026-08-26 21:29:16+00:00,EMP12961,chatura.char56,Operations,LOGON_SUCCESS,MFA,31.131.170.195,LPT-12961,DEV98510,,True,,3.0,ind,LPT-12961,,login_success
IAM00004189,2026-08-10 00:00:00+00:00,EMP10289,jonathan.narayanan92,Human Resource,success_login,certificate,20.56.54.159,LPT-10289,DEV59807,SID754956,Y,,15.0,PB,LPT-10289,SID754956,login_success
IAM00016161,2026-08-18 20:34:50+00:00,EMP12196,vedika.loke72,Sales,ACCOUNT_UNLOCK,biometric,,LPT_12196,NA,,True,,94.0,ind,LPT-12196,,other
IAM00013358,2026-08-06 13:55:03+00:00,EMP12764,urmi.dey32,Support,invalid_credentials,MFA,,,DEV62437,,yes,MFA failed,56.0,,VDR-12764,,login_failed
IAM00006152,2026-08-22 00:00:00+00:00,EMP11251,amrita.balakrishnan89,Supply Chain,FAILED_LOGIN,PASSWORD,,VDR-11251,DEV32326,SID567692,False,NA,91.0,India,VDR-11251,SID567692,login_failed
IAM00007817,2026-08-13 10:49:00+00:00,EMP11436,christopher.sarna67,Rd,invalid_credentials,PASSWORD,,VDR_11436,DEV60551,SID659017,False,expired password,100.0,,VDR-11436,SID659017,login_failed
IAM00019438,2026-09-01 21:04:48+00:00,EMP10912,mohammed.devan20,Operations Dept,Login Failed,biometric,,LPT-10912,DEV26119,,N,OTP expired,48.0,Maharashtra,LPT-10912,,login_failed
IAM00019877,2026-08-15 11:40:14+00:00,EMP11632,wridesh.thakur86,Marketing,MFA_FAILED,OTP,36.141.191.113,VDR-11632,DEV92076,,False,account locked,100.0,,VDR-11632,,mfa_failure
IAM00010429,2026-09-05 00:00:00+00:00,EMP12973,MANYA.CHAKRABARTI30,Operations,success_login,sso,172.16.118.90,LPT-12973,DEV53857,SID662830,yes,,79.0,PB,LPT-12973,SID662830,login_success
IAM00019043,2026-05-09 07:18:17+00:00,EMP12622,bimala.kuruvilla18,Sales,LOGON_FAILURE,password,107.242.96.202,LPT-12622,DEV25930,,0,expired password,45.0,,LPT-12622,,login_failed
IAM00012228,2026-09-01 20:44:00+00:00,EMP12505,radhika.bath93,Purchase,ACCOUNT_UNLOCK,biometric,85.253.27.160,LPT_12505,DEV68365,,False,,46.0,Maharashtra,LPT-12505,,other
IAM00018081,2026-08-04 08:56:32+00:00,EMP12175,ira.kaul35,Innovation,LOGIN_SUCCESS,SSO,,WS-12175.corp.local,DEV44487,SID494071,False,,75.0,IN,WS-12175,SID494071,login_success
IAM00015178,2026-09-06 21:47:12+00:00,EMP12704,vedhika.khatri69,Purchase,invalid_credentials,biometric,172.16.82.192,LPT_12704,DEV49043,,False,OTP expired,46.0,,LPT-12704,,login_failed
IAM00001123,2026-08-26 19:16:45+00:00,EMP10486,thomas.kaul29,Sales Dept,LOGON_FAILURE,certificate,192.168.75.75,WS-10486,DEV48479,SID505840,True,timeout,99.0,remote,WS-10486,SID505840,login_failed
IAM00008713,,EMP10726,orinder_sanghvi74,It Dept,AUTH_SUCCESS,otp,142.16.111.169,,DEV72670,,False,,,Punjab,WS-10726,,login_success
